T v u h s
500 17.838 3132.8 3489.6 9.5798
520 18.300 3166.4 3532.4 9.6344
540 18.762 3200.2 3575.4 9.6880
560 19.224 3234.2 3618.7 9.7406
580 19.685 3268.6 3662.3 9.7923
600 20.147 3303.3 3706.2 9.8431
620 20.609 3338.2 3750.4 9.8932
640 21.070 3373.4 3794.8 9.9424
660 21.532 3408.9 3839.5 9.9908
680 21.993 3444.6 3884.5 10.039
700 22.455 3480.7 3929.8 10.086
720 22.917 3517.1 3975.4 10.132
740 23.378 3553.7 4021.3 10.178
760 23.840 3590.6 4067.4 10.223
780 24.301 3627.9 4113.9 10.267
800 24.763 3665.3 4160.6 10.311
820 25.225 3703.1 4207.6 10.355
840 25.686 3741.1 4254.8 10.397
860 26.148 3779.4 4302.4 10.440
880 26.609 3818.0 4350.2 10.482
900 27.071 3856.9 4398.3 10.523
920 27.532 3896.1 4446.7 10.564
940 27.994 3935.4 4495.3 10.604
960 28.456 3975.1 4544.2 10.644
980 28.917 4015.1 4593.4 10.684
1000 29.379 4055.2 4642.8 10.723
Water/Steam at p = 0.03 MPa (Tsat = 69.095)
0 0.00100019 -0.04 -0.01 -0.00015
5 0.00100007 21.02 21.05 0.07625
10 0.00100033 42.02 42.05 0.15108
15 0.00100093 62.98 63.01 0.22446
20 0.00100183 83.91 83.94 0.29648
25 0.00100299 104.82 104.85 0.36722
30 0.00100440 125.73 125.76 0.43675
35 0.00100603 146.63 146.66 0.50512
40 0.00100788 167.52 167.55 0.57239
45 0.00100992 188.42 188.45 0.63861
50 0.00101214 209.33 209.36 0.70380
55 0.00101455 230.24 230.27 0.76802
60 0.00101712 251.16 251.19 0.83129
65 0.00101987 272.09 272.12 0.89365
69.095 0.00102224 289.24 289.27 0.94407
69.095 5.2284 2467.6 2624.5 7.76750
70 5.2428 2469.0 2626.3 7.7727
75 5.3220 2476.5 2636.2 7.8013
80 5.4010 2484.0 2646.0 7.8292
85 5.4797 2491.4 2655.8 7.8567
90 5.5583 2498.8 2665.5 7.8837
95 5.6368 2506.2 2675.3 7.9103
100 5.7151 2513.5 2685.0 7.9365
105 5.7933 2520.9 2694.7 7.9623
110 5.8714 2528.2 2704.3 7.9877
115 5.9495 2535.5 2714.0 8.0128
120 6.0274 2542.9 2723.7 8.0375
125 6.1053 2550.1 2733.3 8.0620
130 6.1830 2557.5 2743.0 8.0861
135 6.2608 2564.8 2752.6 8.1099
140 6.3385 2572.1 2762.3 8.1334
145 6.4161 2579.5 2772.0 8.1566
150 6.4937 2586.8 2781.6 8.1796
155 6.5712 2594.2 2791.3 8.2023
160 6.6487 2601.5 2801.0 8.2248
165 6.7262 2608.9 2810.7 8.2470
170 6.8036 2616.3 2820.4 8.2690
175 6.8811 2623.7 2830.1 8.2908
180 6.9584 2631.0 2839.8 8.3123
185 7.0358 2638.4 2849.5 8.3337
190 7.1131 2645.8 2859.2 8.3548
195 7.1905 2653.2 2868.9 8.3757
200 7.2677 2660.7 2878.7 8.3964
210 7.4223 2675.5 2898.2 8.4372
220 7.5768 2690.5 2917.8 8.4773
230 7.7312 2705.5 2937.4 8.5167
240 7.8855 2720.5 2957.1 8.5554
250 8.0399 2735.6 2976.8 8.5935
260 8.1941 2750.8 2996.6 8.6309
270 8.3484 2765.9 3016.4 8.6678
280 8.5026 2781.2 3036.3 8.7041
290 8.6568 2796.5 3056.2 8.7398
300 8.8110 2811.9 3076.2 8.7750
310 8.9651 2827.3 3096.3 8.8097
320 9.1192 2842.8 3116.4 8.8439
330 9.2733 2858.4 3136.6 8.8777
340 9.4274 2874.1 3156.9 8.9110
350 9.5815 2889.8 3177.2 8.9438
360 9.7356 2905.4 3197.5 8.9763
370 9.8896 2921.3 3218.0 9.0083
380 10.044 2937.2 3238.5 9.0399
390 10.198 2953.1 3259.0 9.0711
400 10.352 2969.0 3279.6 9.1020
410 10.506 2985.1 3300.3 9.1325
420 10.660 3001.3 3321.1 9.1627
430 10.814 3017.5 3341.9 9.1925
440 10.968 3033.8 3362.8 9.2220
450 11.122 3050.0 3383.7 9.2511
460 11.276 3066.4 3404.7 9.2800
470 11.430 3082.9 3425.8 9.3086
480 11.584 3099.5 3447.0 9.3368
490 11.737 3116.1 3468.2 9.3648
500 11.891 3132.8 3489.5 9.3925
520 12.199 3166.3 3532.3 9.4471
540 12.507 3200.1 3575.3 9.5007
560 12.815 3234.2 3618.6 9.5534
580 13.123 3268.5 3662.2 9.6051
600 13.431 3303.2 3706.1 9.6559
620 13.738 3338.2 3750.3 9.7060
640 14.046 3373.3 3794.7 9.7552
660 14.354 3408.9 3839.5 9.8036
680 14.662 3444.6 3884.5 9.8514
700 14.970 3480.7 3929.8 9.8984
720 15.277 3517.1 3975.4 9.9448
740 15.585 3553.6 4021.2 9.9905
760 15.893 3590.6 4067.4 10.036
780 16.201 3627.8 4113.8 10.080
800 16.508 3665.3 4160.5 10.124
820 16.816 3703.0 4207.5 10.167
840 17.124 3741.1 4254.8 10.210
860 17.432 3779.3 4302.3 10.253
880 17.739 3818.0 4350.2 10.294
900 18.047 3856.9 4398.3 10.336
920 18.355 3896.0 4446.6 10.377
940 18.663 3935.4 4495.3 10.417
960 18.970 3975.1 4544.2 10.457
980 19.278 4015.0 4593.3 10.497
1000 19.586 4055.2 4642.8 10.536
Water/Steam at p = 0.04 MPa (Tsat = 75.857)
0 0.00100019 -0.04 0.00 -0.00015
5 0.00100006 21.02 21.06 0.07625
10 0.00100033 42.02 42.06 0.15108
15 0.00100093 62.98 63.02 0.22446
20 0.00100182 83.91 83.95 0.29648
25 0.00100299 104.82 104.86 0.36722
30 0.00100440 125.73 125.77 0.43674
35 0.00100603 146.62 146.66 0.50512
40 0.00100787 167.52 167.56 0.57239
45 0.00100991 188.42 188.46 0.63860
50 0.00101214 209.33 209.37 0.70380
55 0.00101454 230.24 230.28 0.76801
60 0.00101712 251.16 251.20 0.83128
65 0.00101986 272.09 272.13 0.89364
70 0.00102277 293.03 293.07 0.95513
75 0.00102584 313.99 314.03 1.0158
75.857 0.00102638 317.58 317.62 1.0261
75.857 3.9930 2476.4 2636.1 7.6690
80 4.0425 2482.6 2644.3 7.6925
85 4.1021 2490.1 2654.2 7.7204
90 4.1615 2497.6 2664.1 7.7477
95 4.2208 2505.1 2673.9 7.7746
100 4.2799 2512.5 2683.7 7.8010
105 4.3389 2519.9 2693.5 7.8270
110 4.3978 2527.3 2703.2 7.8527
115 4.4566 2534.7 2713.0 7.8779
120 4.5153 2542.1 2722.7 7.9028
125 4.5739 2549.4 2732.4 7.9274
130 4.6325 2556.8 2742.1 7.9516
135 4.6910 2564.2 2751.8 7.9755
140 4.7495 2571.5 2761.5 7.9992
145 4.8079 2578.9 2771.2 8.0225
150 4.8662 2586.3 2780.9 8.0456
155 4.9245 2593.6 2790.6 8.0684
160 4.9828 2601.0 2800.3 8.0909
165 5.0411 2608.5 2810.1 8.1132
170 5.0993 2615.8 2819.8 8.1353
175 5.1575 2623.2 2829.5 8.1571
180 5.2156 2630.6 2839.2 8.1787
185 5.2737 2638.1 2849.0 8.2000
190 5.3319 2645.4 2858.7 8.2212
195 5.3899 2652.9 2868.5 8.2421
200 5.4480 2660.3 2878.2 8.2629
210 5.5641 2675.2 2897.8 8.3038
220 5.6801 2690.2 2917.4 8.3440
230 5.7961 2705.2 2937.0 8.3834
240 5.9120 2720.2 2956.7 8.4222
250 6.0278 2735.4 2976.5 8.4603
260 6.1437 2750.6 2996.3 8.4977
270 6.2594 2765.7 3016.1 8.5346
280 6.3752 2781.0 3036.0 8.5709
290 6.4909 2796.4 3056.0 8.6067
300 6.6066 2811.7 3076.0 8.6419
310 6.7223 2827.2 3096.1 8.6767
320 6.8380 2842.7 3116.2 8.7109
330 6.9536 2858.3 3136.4 8.7447
340 7.0693 2873.9 3156.7 8.7780
350 7.1849 2889.6 3177.0 8.8108
360 7.3005 2905.4 3197.4 8.8433
370 7.4161 2921.2 3217.8 8.8753
380 7.5316 2937.0 3238.3 8.9069
390 7.6472 2953.0 3258.9 8.9382
400 7.7628 2969.0 3279.5 8.9691
410 7.8783 2985.1 3300.2 8.9996
420 7.9938 3001.1 3320.9 9.0297
430 8.1094 3017.4 3341.8 9.0596
440 8.2249 3033.6 3362.6 9.0891
450 8.3404 3050.0 3383.6 9.1182
460 8.4559 3066.4 3404.6 9.1471
470 8.5714 3082.8 3425.7 9.1757
480 8.6869 3099.4 3446.9 9.2039
490 8.8024 3116.0 3468.1 9.2319
500 8.9179 3132.7 3489.4 9.2596
520 9.1488 3166.2 3532.2 9.3143
540 9.3798 3200.0 3575.2 9.3679
560 9.6107 3234.1 3618.5 9.4205
580 9.8416 3268.5 3662.2 9.4723
600 10.073 3303.1 3706.0 9.5231
620 10.303 3338.1 3750.2 9.5731
640 10.534 3373.3 3794.7 9.6223
660 10.765 3408.8 3839.4 9.6708
680 10.996 3444.6 3884.4 9.7185
700 11.227 3480.6 3929.7 9.7656
720 11.458 3517.0 3975.3 9.8119
740 11.689 3553.6 4021.2 9.8577
760 11.919 3590.5 4067.3 9.9028
780 12.150 3627.8 4113.8 9.9473
800 12.381 3665.3 4160.5 9.9912
820 12.612 3703.0 4207.5 10.035
840 12.843 3741.1 4254.8 10.077
860 13.074 3779.3 4302.3 10.120
880 13.304 3817.9 4350.1 10.162
900 13.535 3856.8 4398.2 10.203
920 13.766 3896.0 4446.6 10.244
940 13.997 3935.3 4495.2 10.284
960 14.228 3975.0 4544.1 10.324
980 14.458 4015.0 4593.3 10.364
1000 14.689 4055.1 4642.7 10.403
Water/Steam at p = 0.05 MPa (Tsat = 81.317)
0 0.00100018 -0.04 0.01 -0.00015
5 0.00100006 21.02 21.07 0.07625
10 0.00100032 42.02 42.07 0.15108
15 0.00100092 62.98 63.03 0.22446
20 0.00100182 83.91 83.96 0.29647
25 0.00100298 104.82 104.87 0.36721
30 0.00100439 125.73 125.78 0.43674
35 0.00100603 146.62 146.67 0.50511
40 0.00100787 167.52 167.57 0.57239
45 0.00100991 188.42 188.47 0.63860
50 0.00101213 209.32 209.37 0.70379
55 0.00101454 230.24 230.29 0.76801
60 0.00101711 251.16 251.21 0.83128
65 0.00101986 272.09 272.14 0.89364
70 0.00102276 293.03 293.08 0.95512
75 0.00102583 313.99 314.04 1.0158
80 0.00102905 334.96 335.01 1.0756
81.317 0.00102993 340.49 340.54 1.0912
81.317 3.2400 2483.2 2645.2 7.5930
85 3.2754 2488.8 2652.6 7.6138
90 3.3233 2496.4 2662.6 7.6415
95 3.3711 2503.9 2672.5 7.6686
100 3.4187 2511.5 2682.4 7.6953
105 3.4661 2519.0 2692.3 7.7215
110 3.5135 2526.4 2702.1 7.7474
115 3.5608 2533.9 2711.9 7.7728
120 3.6080 2541.3 2721.7 7.7978
125 3.6551 2548.7 2731.5 7.8225
130 3.7021 2556.1 2741.2 7.8469
135 3.7491 2563.5 2751.0 7.8710
140 3.7960 2570.9 2760.7 7.8947
145 3.8429 2578.4 2770.5 7.9181
150 3.8897 2585.7 2780.2 7.9413
155 3.9365 2593.2 2790.0 7.9642
160 3.9833 2600.5 2799.7 7.9868
165 4.0300 2607.9 2809.4 8.0091
170 4.0766 2615.4 2819.2 8.0312
175 4.1233 2622.7 2828.9 8.0531
180 4.1699 2630.2 2838.7 8.0748
185 4.2165 2637.6 2848.4 8.0962
190 4.2631 2645.0 2858.2 8.1174
195 4.3096 2652.5 2868.0 8.1384
200 4.3562 2660.0 2877.8 8.1592
210 4.4492 2674.9 2897.4 8.2001
220 4.5421 2689.9 2917.0 8.2404
230 4.6350 2704.9 2936.7 8.2799
240 4.7278 2720.0 2956.4 8.3187
250 4.8206 2735.1 2976.1 8.3568
260 4.9134 2750.3 2996.0 8.3943
270 5.0061 2765.5 3015.8 8.4313
280 5.0988 2780.9 3035.8 8.4676
290 5.1914 2796.1 3055.7 8.5034
300 5.2840 2811.6 3075.8 8.5386
310 5.3767 2827.0 3095.8 8.5734
320 5.4692 2842.5 3116.0 8.6076
330 5.5618 2858.1 3136.2 8.6414
340 5.6544 2873.8 3156.5 8.6747
350 5.7469 2889.5 3176.8 8.7076
360 5.8394 2905.2 3197.2 8.7401
370 5.9319 2921.0 3217.6 8.7721
380 6.0244 2936.9 3238.1 8.8038
390 6.1169 2952.9 3258.7 8.8350
400 6.2094 2968.8 3279.3 8.8659
410 6.3019 2984.9 3300.0 8.8964
420 6.3943 3001.1 3320.8 8.9266
430 6.4868 3017.3 3341.6 8.9564
440 6.5792 3033.5 3362.5 8.9859
450 6.6717 3049.9 3383.5 9.0151
460 6.7641 3066.3 3404.5 9.0440
470 6.8565 3082.8 3425.6 9.0726
480 6.9489 3099.3 3446.7 9.1008
490 7.0414 3115.9 3468.0 9.1288
500 7.1338 3132.6 3489.3 9.1566
520 7.3186 3166.2 3532.1 9.2112
540 7.5034 3199.9 3575.1 9.2648
560 7.6881 3234.1 3618.5 9.3175
580 7.8729 3268.5 3662.1 9.3692
600 8.0576 3303.1 3706.0 9.4201
620 8.2424 3338.0 3750.1 9.4701
640 8.4271 3373.2 3794.6 9.5193
660 8.6118 3408.7 3839.3 9.5678
680 8.7965 3444.6 3884.4 9.6155
700 8.9812 3480.6 3929.7 9.6625
720 9.1659 3517.0 3975.3 9.7089
740 9.3506 3553.6 4021.1 9.7546
760 9.5353 3590.5 4067.3 9.7998
780 9.7200 3627.7 4113.7 9.8443
800 9.9047 3665.2 4160.4 9.8882
820 10.089 3702.9 4207.4 9.9316
840 10.274 3741.0 4254.7 9.9745
860 10.459 3779.3 4302.3 10.017
880 10.643 3818.0 4350.1 10.059
900 10.828 3856.8 4398.2 10.100
920 11.013 3896.0 4446.6 10.141
940 11.197 3935.4 4495.2 10.181
960 11.382 3975.0 4544.1 10.221
980 11.567 4014.9 4593.3 10.261
1000 11.751 4055.2 4642.7 10.300
Water/Steam at p = 0.06 MPa (Tsat = 85.926)
0 0.00100018 -0.04 0.02 -0.00015
5 0.00100005 21.02 21.08 0.07625
10 0.00100032 42.02 42.08 0.15108
15 0.00100092 62.98 63.04 0.22445
20 0.00100182 83.91 83.97 0.29647
25 0.00100298 104.82 104.88 0.36721
30 0.00100439 125.72 125.78 0.43674
35 0.00100602 146.62 146.68 0.50511
40 0.00100786 167.52 167.58 0.57238
45 0.00100990 188.42 188.48 0.63859
50 0.00101213 209.32 209.38 0.70379
55 0.00101453 230.23 230.29 0.76800
60 0.00101711 251.15 251.21 0.83127
65 0.00101985 272.08 272.14 0.89363
70 0.00102276 293.03 293.09 0.95512
75 0.00102583 313.99 314.05 1.0158
80 0.00102905 334.96 335.02 1.0756
85 0.00103243 355.96 356.02 1.1346
85.926 0.00103307 359.85 359.91 1.1454
85.926 2.7317 2489.0 2652.9 7.5311
90 2.7645 2495.2 2661.1 7.5540
95 2.8046 2502.8 2671.1 7.5814
100 2.8445 2510.4 2681.1 7.6084
105 2.8843 2518.0 2691.1 7.6348
110 2.9240 2525.6 2701.0 7.6609
115 2.9636 2533.1 2710.9 7.6865
120 3.0031 2540.5 2720.7 7.7117
125 3.0425 2547.9 2730.5 7.7365
130 3.0819 2555.4 2740.3 7.7610
135 3.1212 2562.8 2750.1 7.7852
140 3.1604 2570.3 2759.9 7.8090
145 3.1996 2577.7 2769.7 7.8326
150 3.2387 2585.2 2779.5 7.8558
155 3.2778 2592.6 2789.3 7.8788
160 3.3169 2600.0 2799.0 7.9015
165 3.3559 2607.4 2808.8 7.9239
170 3.3949 2614.9 2818.6 7.9461
175 3.4338 2622.4 2828.4 7.9680
180 3.4728 2629.7 2838.1 7.9897
185 3.5117 2637.2 2847.9 8.0112
190 3.5506 2644.7 2857.7 8.0324
195 3.5894 2652.1 2867.5 8.0535
200 3.6283 2659.6 2877.3 8.0743
210 3.7059 2674.5 2896.9 8.1153
220 3.7834 2689.6 2916.6 8.1556
230 3.8609 2704.6 2936.3 8.1952
240 3.9384 2719.7 2956.0 8.2340
250 4.0158 2734.9 2975.8 8.2722
260 4.0932 2750.1 2995.7 8.3098
270 4.1705 2765.3 3015.5 8.3467
280 4.2478 2780.6 3035.5 8.3831
290 4.3251 2796.0 3055.5 8.4189
300 4.4023 2811.4 3075.5 8.4542
310 4.4795 2826.8 3095.6 8.4889
320 4.5567 2842.4 3115.8 8.5232
330 4.6339 2858.0 3136.0 8.5570
340 4.7111 2873.6 3156.3 8.5904
350 4.7883 2889.3 3176.6 8.6232
360 4.8654 2905.1 3197.0 8.6557
370 4.9425 2920.8 3217.4 8.6878
380 5.0196 2936.8 3238.0 8.7194
390 5.0967 2952.7 3258.5 8.7507
400 5.1738 2968.8 3279.2 8.7816
410 5.2509 2984.8 3299.9 8.8121
420 5.3280 3001.0 3320.7 8.8423
430 5.4051 3017.2 3341.5 8.8721
440 5.4821 3033.5 3362.4 8.9017
450 5.5592 3049.7 3383.3 8.9308
460 5.6362 3066.2 3404.4 8.9597
470 5.7133 3082.7 3425.5 8.9883
480 5.7903 3099.2 3446.6 9.0166
490 5.8673 3115.9 3467.9 9.0446
500 5.9444 3132.5 3489.2 9.0723
520 6.0984 3166.1 3532.0 9.1270
540 6.2524 3199.9 3575.0 9.1806
560 6.4064 3234.0 3618.4 9.2332
580 6.5604 3268.4 3662.0 9.2850
600 6.7144 3303.0 3705.9 9.3358
620 6.8684 3338.0 3750.1 9.3859
640 7.0223 3373.2 3794.5 9.4351
660 7.1763 3408.7 3839.3 9.4836
680 7.3302 3444.5 3884.3 9.5313
700 7.4841 3480.6 3929.6 9.5784
720 7.6381 3516.9 3975.2 9.6247
740 7.7920 3553.6 4021.1 9.6705
760 7.9459 3590.4 4067.2 9.7156
780 8.0998 3627.7 4113.7 9.7601
800 8.2537 3665.2 4160.4 9.8040
820 8.4076 3702.9 4207.4 9.8474
840 8.5615 3741.0 4254.7 9.8903
860 8.7154 3779.3 4302.2 9.9326
880 8.8693 3817.9 4350.1 9.9745
900 9.0232 3856.8 4398.2 10.016
920 9.1771 3895.9 4446.5 10.057
940 9.3310 3935.3 4495.2 10.097
960 9.4849 3975.0 4544.1 10.137
980 9.6388 4014.9 4593.2 10.177
1000 9.7927 4055.1 4642.7 10.216
Water/Steam at p = 0.07 MPa (Tsat = 89.932)
0 0.00100017 -0.04 0.03 -0.00015
5 0.00100005 21.02 21.09 0.07625
10 0.00100031 42.02 42.09 0.15108
15 0.00100091 62.98 63.05 0.22445
20 0.00100181 83.91 83.98 0.29647
25 0.00100298 104.82 104.89 0.36721
30 0.00100438 125.72 125.79 0.43673
35 0.00100602 146.62 146.69 0.50511
40 0.00100786 167.52 167.59 0.57238
45 0.00100990 188.42 188.49 0.63859
50 0.00101212 209.32 209.39 0.70378
55 0.00101453 230.23 230.30 0.76800
60 0.00101711 251.15 251.22 0.83127
65 0.00101985 272.08 272.15 0.89363
70 0.00102276 293.03 293.10 0.95511
75 0.00102582 313.99 314.06 1.0157
80 0.00102904 334.96 335.03 1.0756
85 0.00103242 355.95 356.02 1.1346
89.932 0.00103590 376.68 376.75 1.1921
89.932 2.3648 2493.9 2659.4 7.4790
90 2.3653 2494.0 2659.6 7.4794
95 2.3999 2501.7 2669.7 7.5072
100 2.4343 2509.4 2679.8 7.5344
105 2.4687 2517.0 2689.8 7.5611
110 2.5029 2524.6 2699.8 7.5874
115 2.5370 2532.2 2709.8 7.6132
120 2.5710 2539.7 2719.7 7.6385
125 2.6049 2547.3 2729.6 7.6635
130 2.6388 2554.8 2739.5 7.6882
135 2.6726 2562.2 2749.3 7.7124
140 2.7064 2569.7 2759.1 7.7364
145 2.7401 2577.2 2769.0 7.7600
150 2.7737 2584.6 2778.8 7.7834
155 2.8073 2592.1 2788.6 7.8064
160 2.8409 2599.5 2798.4 7.8292
165 2.8744 2607.0 2808.2 7.8517
170 2.9079 2614.4 2818.0 7.8739
175 2.9414 2621.9 2827.8 7.8959
180 2.9748 2629.4 2837.6 7.9177
185 3.0082 2636.8 2847.4 7.9392
190 3.0416 2644.3 2857.2 7.9605
195 3.0750 2651.8 2867.0 7.9815
200 3.1083 2659.2 2876.8 8.0024
210 3.1750 2674.3 2896.5 8.0435
220 3.2415 2689.3 2916.2 8.0839
230 3.3080 2704.3 2935.9 8.1235
240 3.3745 2719.5 2955.7 8.1624
250 3.4409 2734.6 2975.5 8.2006
260 3.5073 2749.9 2995.4 8.2382
270 3.5736 2765.1 3015.3 8.2752
280 3.6400 2780.4 3035.2 8.3116
290 3.7062 2795.8 3055.2 8.3474
300 3.7725 2811.2 3075.3 8.3827
310 3.8387 2826.7 3095.4 8.4175
